QUANTIDADEDEFEITOS;PLANOMNT;PRIODEF;SEALINSPEÇÃO;GRUPO2DEFEITO;EQUIPEEXECUÇÃO;STATUSEXECUÇÃO
1;ALIMENTADOR;P1;SLF01C5;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;CDO01C8;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;RNC01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C5;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C4;árvore;PL;PEND F_PRAZO
1;ALIMENTADOR;P1;RNC01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;IAQ01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C4;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ARS01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SJR01C6;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;SQA01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SJR01C6;trafo;LM;PEND F_PRAZO
1;ALIMENTADOR;P1;SQA01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SJR01C6;para_raios;LV;RETIRADA
1;ALIMENTADOR;P1;BRD01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;BRD01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;BRD01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;BRD01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;BRD01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;FLP01C3;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;A;MAR01C7;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P1;VLP01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ADG01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;STT01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;STT01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;STT01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;STT01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;FQL01C8;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;FQL01C8;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;FQL01C8;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;STT01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;VLP01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;VLP01C2;condutor;LV;PEND F_PRAZO
1;ALIMENTADOR;A;VLP01C2;cruzeta;LV;ACOMPANHAR
1;ALIMENTADOR;A;VLP01C2;poste;LM;ACOMPANHAR
1;ALIMENTADOR;A;VLP01C2;poste;LM;ACOMPANHAR
1;ALIMENTADOR;A;VLP01C2;poste;LM;ACOMPANHAR
1;ALIMENTADOR;P1;STT01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ADG01C4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;CET01W4;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;RNC01C8;árvore;NI;RETIRADA
1;ALIMENTADOR;P2;RNC01C8;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P2;RNC01C8;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;RNC01C8;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;RNC01C8;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;RNC01C8;condutor;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;RNC01C8;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P1;SJR01C2;árvore;PO;PEND F_PRAZO
